iter	Passed	Remaining
803	1575	384
804	1577	382
805	1579	380
806	1581	378
807	1584	376
808	1586	374
809	1588	372
810	1589	370
811	1591	368
812	1593	366
813	1596	364
814	1598	362
815	1600	360
816	1602	358
817	1603	356
818	1606	354
819	1607	352
820	1609	350
821	1611	348
822	1613	347
823	1615	345
824	1617	343
825	1619	341
826	1621	339
827	1623	337
828	1624	335
829	1626	333
830	1628	331
831	1630	329
832	1632	327
833	1634	325
834	1636	323
835	1638	321
836	1640	319
837	1641	317
838	1644	315
839	1646	313
840	1648	311
841	1649	309
842	1651	307
843	1653	305
844	1655	303
845	1657	301
846	1659	299
847	1661	297
848	1663	295
849	1664	293
850	1666	291
851	1668	289
852	1670	287
853	1672	285
854	1673	283
855	1675	281
856	1678	280
857	1680	278
858	1682	276
859	1683	274
860	1685	272
861	1687	270
862	1689	268
863	1691	266
864	1693	264
865	1695	262
866	1697	260
867	1699	258
868	1701	256
869	1703	254
870	1706	252
871	1708	250
872	1710	248
873	1712	246
874	1714	244
875	1716	242
876	1718	240
877	1720	239
878	1723	237
879	1724	235
880	1726	233
881	1728	231
882	1730	229
883	1732	227
884	1734	225
885	1736	223
886	1739	221
887	1741	219
888	1743	217
889	1745	215
890	1746	213
891	1748	211
892	1750	209
893	1753	207
894	1755	205
895	1757	203
896	1759	201
897	1761	200
898	1762	198
899	1764	196
900	1766	194
901	1768	192
902	1770	190
903	1772	188
904	1774	186
905	1776	184
906	1778	182
907	1780	180
908	1783	178
909	1785	176
910	1787	174
911	1789	172
912	1791	170
913	1792	168
914	1794	166
915	1796	164
916	1798	162
917	1800	160
918	1802	158
919	1804	156
920	1807	155
921	1809	153
922	1811	151
923	1813	149
924	1815	147
925	1817	145
926	1819	143
927	1821	141
928	1823	139
929	1825	137
930	1827	135
931	1829	133
932	1831	131
933	1833	129
934	1836	127
935	1838	125
936	1840	123
937	1842	121
938	1844	119
939	1846	117
940	1847	115
941	1849	113
942	1851	111
943	1853	109
944	1855	107
945	1857	106
946	1858	104
947	1861	102
948	1863	100
949	1865	98
950	1867	96
951	1869	94
952	1872	92
953	1874	90
954	1876	88
955	1879	86
956	1881	84
957	1883	82
958	1885	80
959	1887	78
960	1889	76
961	1890	74
962	1892	72
963	1894	70
964	1896	68
965	1898	66
966	1900	64
967	1902	62
968	1904	60
969	1906	58
970	1907	56
971	1909	55
972	1911	53
973	1913	51
974	1915	49
975	1917	47
976	1919	45
977	1920	43
978	1922	41
979	1924	39
980	1926	37
981	1928	35
982	1930	33
983	1933	31
984	1935	29
985	1937	27
986	1939	25
987	1940	23
988	1942	21
989	1944	19
990	1946	17
991	1948	15
992	1950	13
993	1952	11
994	1954	9
995	1956	7
996	1959	5
997	1961	3
998	1962	1
999	1964	0
