iter	RMSE
399	4663481.7
400	4657329.908
401	4654306.054
402	4651344.852
403	4643413.072
404	4641794.194
405	4634065.698
406	4630247.205
407	4626833.58
408	4614417.28
409	4609069.242
410	4603768.501
411	4601939.023
412	4595033.09
413	4593291.693
414	4587474.389
415	4584660.55
416	4578344.152
417	4573419.626
418	4569325.497
419	4563818.546
420	4556107.531
421	4542738.478
422	4538358.946
423	4531336.037
424	4527023.137
425	4521573.994
426	4518067.027
427	4514823.748
428	4512127.902
429	4501694.73
430	4496861.487
431	4492949.273
432	4490044.715
433	4484180.837
434	4478204.709
435	4471282.426
436	4467895.034
437	4465390.446
438	4456396.834
439	4454102.713
440	4449666.479
441	4443154.585
442	4440602.217
443	4422047.16
444	4419822.514
445	4416055.033
446	4414831.338
447	4411777.096
448	4406645.506
449	4403675.411
450	4398793.296
451	4392452.334
452	4389859.55
453	4387701.696
454	4383816.448
455	4376869.247
456	4374451.273
457	4368313.621
458	4361026.788
459	4354906.755
460	4348324.69
461	4335098.193
462	4330216.386
463	4326277.148
464	4320335.182
465	4315431.758
466	4311838.196
467	4307854.351
468	4302420.951
469	4296025.63
470	4290853.402
471	4289717.116
472	4283771.893
473	4280493.615
474	4279495.035
475	4277562.14
476	4273761.969
477	4271181.329
478	4267096.886
479	4265788.488
480	4263525.6
481	4259322.039
482	4255408.935
483	4252634.977
484	4246984.16
485	4243944.117
486	4241863.987
487	4239417.585
488	4237895.632
489	4231842.04
490	4230466.022
491	4227376.351
492	4221982.749
493	4218466.297
494	4215612.178
495	4213348.981
496	4211044.765
497	4201177.024
498	4199319.413
499	4196482.102
500	4192700.803
501	4188961.124
502	4181395.158
503	4178827.085
504	4173728.735
505	4169399.79
506	4166732.201
507	4162269.624
508	4154413.181
509	4148393.192
510	4142544.39
511	4134251.66
512	4131390.851
513	4130058.595
514	4127119.656
515	4124871.481
516	4118763.922
517	4113911.938
518	4108588.176
519	4103701.903
520	4098203.482
521	4095536.778
522	4090647.391
523	4088148.133
524	4086674.997
525	4078404.727
526	4075634.815
527	4073446.206
528	4070136.7
529	4066555.371
530	4063158.923
531	4060911.093
532	4057745.972
533	4054800.791
534	4052083.304
535	4047246.207
536	4044704.827
537	4042286.896
538	4037563.088
539	4033412.818
540	4029256.198
541	4025535.594
542	4023977.16
543	4020508.079
544	4012411.744
545	4010873.708
546	4007737.902
547	3999416.197
548	3997101.719
549	3995927.17
550	3988247.071
551	3985997.05
552	3980646.091
553	3978108.022
554	3974841.686
555	3973673.005
556	3963004.868
557	3959226.011
558	3953950.955
559	3948915.341
560	3945886.742
561	3943372.367
562	3940708.817
563	3936613.478
564	3933104.573
565	3929023.164
566	3926746.898
567	3925299.431
568	3922305.698
569	3919558.905
570	3918599.037
571	3913538.745
572	3912485.443
573	3909015.886
